DIA,HORA,HORIZONTE,MODELO,ACCION_REAL,ACCION_IA,SOC_REAL,SOC_IA
803,15,T=4h,RNN,0.0,0.0,0.2,0.2067
803,16,T=4h,RNN,0.0,0.0045,0.2,0.198
803,17,T=4h,RNN,0.0,0.0041,0.2,0.1966
803,18,T=4h,RNN,0.0,-1e-04,0.2,0.1995
803,19,T=4h,RNN,0.0,-0.0025,0.2,0.2038
803,20,T=4h,RNN,0.0,0.0143,0.2,0.2095
803,21,T=4h,RNN,0.0,0.017,0.2,0.216
803,22,T=4h,RNN,0.2582,0.115,0.4453,0.315
803,23,T=4h,RNN,0.3,0.2278,0.7303,0.6585
804,0,T=4h,RNN,0.0,0.0935,0.3763,0.469
804,1,T=4h,RNN,0.3,0.2846,0.6613,0.6631
804,2,T=4h,RNN,0.2513,0.1125,0.9,0.7655
804,3,T=4h,RNN,0.0,-0.0027,0.9,0.9039
804,4,T=4h,RNN,0.0,0.0058,0.9,0.8995
804,5,T=4h,RNN,0.0,0.0052,0.9,0.9024
804,6,T=4h,RNN,0.0,-0.0048,0.9,0.8994
804,7,T=4h,RNN,0.0,0.0037,0.9,0.9088
804,8,T=4h,RNN,0.0,-0.0011,0.9,0.903
804,9,T=4h,RNN,0.0,0.0036,0.9,0.9088
804,10,T=4h,RNN,0.0,0.0048,0.9,0.9057
804,11,T=4h,RNN,0.0,0.0038,0.9,0.8981
804,12,T=4h,RNN,0.0,-0.1417,0.9,0.7391
804,13,T=4h,RNN,-0.5,-0.4633,0.3737,0.4041
804,14,T=4h,RNN,-0.165,-0.1594,0.2,0.2219
804,15,T=4h,RNN,0.0,-0.0217,0.2,0.1857
804,16,T=4h,RNN,0.0,-0.0039,0.2,0.2038
804,17,T=4h,RNN,0.0,-0.0012,0.2,0.1942
804,18,T=4h,RNN,0.0,-0.0077,0.2,0.1985
804,19,T=4h,RNN,0.0,-0.01,0.2,0.1997
804,20,T=4h,RNN,0.0,-0.0015,0.2,0.1974
804,21,T=4h,RNN,0.0,0.0316,0.2,0.2373
804,22,T=4h,RNN,0.0,0.0616,0.2,0.2668
804,23,T=4h,RNN,0.1856,0.145,0.3763,0.3378
805,0,T=4h,RNN,0.0,0.1305,0.3988,0.5299
805,1,T=4h,RNN,0.2276,0.1616,0.615,0.5602
805,2,T=4h,RNN,0.3,0.2252,0.9,0.8429
805,3,T=4h,RNN,0.0,0.0008,0.9,0.9063
805,4,T=4h,RNN,0.0,-1e-04,0.9,0.897
805,5,T=4h,RNN,0.0,0.0131,0.9,0.9135
805,6,T=4h,RNN,0.0,0.0041,0.9,0.8988
805,7,T=4h,RNN,0.0,0.0005,0.9,0.906
805,8,T=4h,RNN,0.0,-0.0,0.9,0.9109
805,9,T=4h,RNN,0.0,-0.0073,0.9,0.8806
805,10,T=4h,RNN,-0.165,-0.0721,0.7263,0.816
805,11,T=4h,RNN,0.0,0.0813,0.7263,0.8265
805,12,T=4h,RNN,0.0,0.0532,0.7263,0.7742
805,13,T=4h,RNN,-0.5,-0.4471,0.2,0.2286
805,14,T=4h,RNN,0.0,-0.0355,0.2,0.186
805,15,T=4h,RNN,0.0,-0.0062,0.2,0.2008
805,16,T=4h,RNN,0.0,-0.0017,0.2,0.1998
805,17,T=4h,RNN,0.0,0.0004,0.2,0.1983
805,18,T=4h,RNN,0.0,-0.0046,0.2,0.2024
805,19,T=4h,RNN,0.0,-0.0072,0.2,0.2031
805,20,T=4h,RNN,0.0,0.0098,0.2,0.2045
805,21,T=4h,RNN,0.0,0.0554,0.2,0.2549
805,22,T=4h,RNN,0.0,0.1188,0.2,0.3143
805,23,T=4h,RNN,0.2093,0.1276,0.3988,0.3217
806,0,T=4h,RNN,0.3,0.1466,0.6967,0.5568
806,1,T=4h,RNN,0.214,0.0411,0.9,0.7149
806,2,T=4h,RNN,0.0,0.0057,0.9,0.9087
806,3,T=4h,RNN,0.0,-0.017,0.9,0.8801
806,4,T=4h,RNN,0.0,-0.0128,0.9,0.8886
806,5,T=4h,RNN,0.0,-0.0045,0.9,0.8963
806,6,T=4h,RNN,0.0,0.003,0.9,0.9032
806,7,T=4h,RNN,0.0,0.031,0.9,0.9333
806,8,T=4h,RNN,0.0,0.0018,0.9,0.894
806,9,T=4h,RNN,0.0,-0.0168,0.9,0.8712
806,10,T=4h,RNN,-0.5,-0.4819,0.3737,0.4113
806,11,T=4h,RNN,0.0,-0.1353,0.3737,0.2398
806,12,T=4h,RNN,-0.165,-0.1122,0.2,0.2444
806,13,T=4h,RNN,0.0,-0.0057,0.2,0.2226
806,14,T=4h,RNN,0.0,-0.0132,0.2,0.1932
806,15,T=4h,RNN,0.0,-0.0128,0.2,0.186
806,16,T=4h,RNN,0.0,-0.0009,0.2,0.2043
806,17,T=4h,RNN,0.0,-0.0073,0.2,0.1957
806,18,T=4h,RNN,0.0,0.0379,0.2,0.2499
806,19,T=4h,RNN,0.0,-0.0,0.2,0.1819
806,20,T=4h,RNN,0.0,0.0609,0.2,0.261
806,21,T=4h,RNN,0.0,0.0551,0.2,0.2491
806,22,T=4h,RNN,0.0,0.1317,0.2,0.322
806,23,T=4h,RNN,0.2229,0.275,0.4117,0.489
807,0,T=4h,RNN,0.2903,0.2362,0.615,0.5723
807,1,T=4h,RNN,0.0,0.2431,0.615,0.8644
807,2,T=4h,RNN,0.3,0.2315,0.9,0.8395
807,3,T=4h,RNN,0.0,0.012,0.9,0.9183
807,4,T=4h,RNN,0.0,0.0071,0.9,0.9034
807,5,T=4h,RNN,0.0,0.0097,0.9,0.9099
807,6,T=4h,RNN,0.0,0.0064,0.9,0.8916
807,7,T=4h,RNN,0.0,-0.0023,0.9,0.9048
807,8,T=4h,RNN,0.0,-0.0004,0.9,0.9061
807,9,T=4h,RNN,0.0,-0.0056,0.9,0.8953
807,10,T=4h,RNN,0.0,-0.0042,0.9,0.8987
807,11,T=4h,RNN,0.0,-0.0042,0.9,0.8814
807,12,T=4h,RNN,-0.5,-0.3888,0.3737,0.4948
807,13,T=4h,RNN,0.0,-0.111,0.3737,0.2645
807,14,T=4h,RNN,-0.165,-0.1256,0.2,0.2314
807,15,T=4h,RNN,0.0,0.0004,0.2,0.212
807,16,T=4h,RNN,0.0,0.0068,0.2,0.2108
807,17,T=4h,RNN,0.0,0.0026,0.2,0.204
807,18,T=4h,RNN,0.0,0.0011,0.2,0.1952
807,19,T=4h,RNN,0.0,-0.0039,0.2,0.2044
807,20,T=4h,RNN,0.0,-0.0019,0.2,0.1939
807,21,T=4h,RNN,0.0,0.0264,0.2,0.2242
807,22,T=4h,RNN,0.0,0.1329,0.2,0.3457
807,23,T=4h,RNN,0.1466,0.1421,0.3392,0.3453
808,0,T=4h,RNN,0.0,-0.0548,0.6433,0.5859
808,1,T=4h,RNN,0.0,0.0131,0.6433,0.6481
808,2,T=4h,RNN,0.2702,0.2827,0.9,0.8987
808,3,T=4h,RNN,0.0,-0.0072,0.9,0.8986
808,4,T=4h,RNN,0.0,0.0155,0.9,0.9136
808,5,T=4h,RNN,0.0,0.0086,0.9,0.9079
808,6,T=4h,RNN,0.0,0.0017,0.9,0.893
808,7,T=4h,RNN,0.0,-0.0049,0.9,0.9011
808,8,T=4h,RNN,0.0,0.0009,0.9,0.911
808,9,T=4h,RNN,0.0,0.0012,0.9,0.9052
808,10,T=4h,RNN,0.0,0.0062,0.9,0.9022
808,11,T=4h,RNN,0.0,-0.0448,0.9,0.8538
808,12,T=4h,RNN,0.0,-0.0139,0.9,0.8874
808,13,T=4h,RNN,0.0,-0.0306,0.9,0.8553
808,14,T=4h,RNN,0.0,-0.0101,0.9,0.874
808,15,T=4h,RNN,-0.5,-0.2302,0.3737,0.6541
808,16,T=4h,RNN,-0.165,-0.1795,0.2,0.1785
808,17,T=4h,RNN,0.0,0.0253,0.2,0.171
808,18,T=4h,RNN,0.0,0.048,0.2,0.1866
808,19,T=4h,RNN,0.0,-0.0149,0.2,0.186
808,20,T=4h,RNN,0.0,-0.0088,0.2,0.1733
808,21,T=4h,RNN,0.1667,0.073,0.3583,0.2814
808,22,T=4h,RNN,0.0,0.2044,0.3583,0.5549
808,23,T=4h,RNN,0.3,0.1623,0.6433,0.4958
809,0,T=4h,RNN,0.0,0.0946,0.3576,0.4493
809,1,T=4h,RNN,0.2709,0.2776,0.615,0.6363
809,2,T=4h,RNN,0.0,0.1279,0.615,0.7418
809,3,T=4h,RNN,0.3,0.2694,0.9,0.8774
809,4,T=4h,RNN,0.0,0.0037,0.9,0.9055
809,5,T=4h,RNN,0.0,0.0136,0.9,0.9139
809,6,T=4h,RNN,0.0,0.0101,0.9,0.9067
809,7,T=4h,RNN,0.0,1e-04,0.9,0.8995
809,8,T=4h,RNN,0.0,0.0006,0.9,0.9069
809,9,T=4h,RNN,0.0,0.004,0.9,0.9087
809,10,T=4h,RNN,0.0,0.0084,0.9,0.9052
809,11,T=4h,RNN,-0.165,-0.1853,0.7263,0.7129
809,12,T=4h,RNN,-0.5,-0.2844,0.2,0.4397
809,13,T=4h,RNN,0.0,-0.0146,0.2,0.1773
809,14,T=4h,RNN,0.0,-0.0039,0.2,0.2036
809,15,T=4h,RNN,0.0,0.003,0.2,0.1986
809,16,T=4h,RNN,0.0,0.0068,0.2,0.2015
809,17,T=4h,RNN,0.0,-0.0012,0.2,0.1994
809,18,T=4h,RNN,0.0,-1e-04,0.2,0.2054
809,19,T=4h,RNN,0.0,-0.0108,0.2,0.1978
809,20,T=4h,RNN,0.0,-0.0022,0.2,0.1949
809,21,T=4h,RNN,0.0,0.0686,0.2,0.2626
809,22,T=4h,RNN,0.1659,0.1501,0.3576,0.3425
809,23,T=4h,RNN,0.0,0.12,0.3576,0.4674
810,0,T=4h,RNN,0.0,0.0405,0.7468,0.7733
810,1,T=4h,RNN,-0.1252,-0.0989,0.615,0.6593
810,2,T=4h,RNN,0.0,0.2195,0.615,0.8024
810,3,T=4h,RNN,0.0,0.1601,0.615,0.7591
