DIA,HORA,HORIZONTE,MODELO,ACCION_REAL,ACCION_IA,SOC_REAL,SOC_IA
803,15,T=2h,MLP,0.0,0.0077,0.2,0.2042
803,16,T=2h,MLP,0.0,-0.0017,0.2,0.2015
803,17,T=2h,MLP,0.0,0.002,0.2,0.2002
803,18,T=2h,MLP,0.0,0.0025,0.2,0.1999
803,19,T=2h,MLP,0.0,-0.0033,0.2,0.1995
803,20,T=2h,MLP,-0.0,-0.0068,0.2,0.1962
803,21,T=2h,MLP,0.0,0.0228,0.2,0.2233
803,22,T=2h,MLP,0.2582,0.1181,0.4453,0.3127
803,23,T=2h,MLP,0.3,0.2771,0.7303,0.7108
804,0,T=2h,MLP,0.0,0.0984,0.3763,0.4731
804,1,T=2h,MLP,0.3,0.3043,0.6613,0.6564
804,2,T=2h,MLP,0.2513,0.1269,0.9,0.7805
804,3,T=2h,MLP,0.0,0.001,0.9,0.9041
804,4,T=2h,MLP,0.0,0.0101,0.9,0.9077
804,5,T=2h,MLP,0.0,0.005,0.9,0.9028
804,6,T=2h,MLP,0.0,0.0124,0.9,0.9066
804,7,T=2h,MLP,0.0,0.007,0.9,0.912
804,8,T=2h,MLP,0.0,0.0075,0.9,0.8978
804,9,T=2h,MLP,0.0,0.0063,0.9,0.9068
804,10,T=2h,MLP,-0.0,-0.0068,0.9,0.8915
804,11,T=2h,MLP,0.0,-0.0712,0.9,0.8262
804,12,T=2h,MLP,0.0,-0.2287,0.9,0.6624
804,13,T=2h,MLP,-0.5,-0.4766,0.3737,0.3928
804,14,T=2h,MLP,-0.165,-0.1474,0.2,0.2358
804,15,T=2h,MLP,0.0,0.0028,0.2,0.1982
804,16,T=2h,MLP,0.0,-0.0007,0.2,0.2004
804,17,T=2h,MLP,0.0,-0.0035,0.2,0.199
804,18,T=2h,MLP,0.0,-0.0018,0.2,0.2012
804,19,T=2h,MLP,0.0,0.0017,0.2,0.2017
804,20,T=2h,MLP,0.0,0.0163,0.2,0.2176
804,21,T=2h,MLP,0.0,0.0407,0.2,0.2348
804,22,T=2h,MLP,-0.0,0.0108,0.2,0.2145
804,23,T=2h,MLP,0.1856,0.0866,0.3763,0.2831
805,0,T=2h,MLP,0.0,0.1361,0.3988,0.5302
805,1,T=2h,MLP,0.2276,0.1817,0.615,0.5722
805,2,T=2h,MLP,0.3,0.2173,0.9,0.8149
805,3,T=2h,MLP,0.0,0.0023,0.9,0.8974
805,4,T=2h,MLP,0.0,0.0072,0.9,0.9065
805,5,T=2h,MLP,0.0,0.0122,0.9,0.9072
805,6,T=2h,MLP,0.0,0.0091,0.9,0.9053
805,7,T=2h,MLP,0.0,0.0106,0.9,0.8969
805,8,T=2h,MLP,0.0,-0.0046,0.9,0.9048
805,9,T=2h,MLP,0.0,-0.0122,0.9,0.8913
805,10,T=2h,MLP,-0.165,-0.1045,0.7263,0.7951
805,11,T=2h,MLP,0.0,-0.0213,0.7263,0.74
805,12,T=2h,MLP,0.0,-0.0629,0.7263,0.6668
805,13,T=2h,MLP,-0.5,-0.4774,0.2,0.2232
805,14,T=2h,MLP,0.0,0.004,0.2,0.1947
805,15,T=2h,MLP,0.0,0.0102,0.2,0.2047
805,16,T=2h,MLP,-0.0,0.0023,0.2,0.1991
805,17,T=2h,MLP,0.0,-0.0016,0.2,0.2005
805,18,T=2h,MLP,0.0,0.0013,0.2,0.1997
805,19,T=2h,MLP,0.0,-0.0021,0.2,0.2005
805,20,T=2h,MLP,0.0,0.0379,0.2,0.2375
805,21,T=2h,MLP,-0.0,0.109,0.2,0.3061
805,22,T=2h,MLP,-0.0,0.0916,0.2,0.2874
805,23,T=2h,MLP,0.2093,0.05,0.3988,0.2419
806,0,T=2h,MLP,0.3,0.1543,0.6967,0.5574
806,1,T=2h,MLP,0.214,0.0977,0.9,0.8003
806,2,T=2h,MLP,0.0,0.0251,0.9,0.9273
806,3,T=2h,MLP,0.0,-0.0026,0.9,0.8953
806,4,T=2h,MLP,0.0,0.0148,0.9,0.9168
806,5,T=2h,MLP,0.0,0.009,0.9,0.9061
806,6,T=2h,MLP,0.0,-0.0016,0.9,0.9022
806,7,T=2h,MLP,0.0,0.0053,0.9,0.9017
806,8,T=2h,MLP,0.0,-0.0026,0.9,0.885
806,9,T=2h,MLP,0.0,-0.0357,0.9,0.8672
806,10,T=2h,MLP,-0.5,-0.4787,0.3737,0.3993
806,11,T=2h,MLP,0.0,-0.1112,0.3737,0.2573
806,12,T=2h,MLP,-0.165,-0.1634,0.2,0.2102
806,13,T=2h,MLP,-0.0,0.0019,0.2,0.2176
806,14,T=2h,MLP,0.0,-0.0029,0.2,0.2082
806,15,T=2h,MLP,0.0,0.0011,0.2,0.2023
